Id,animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
1,aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,mammal
2,antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
3,bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
4,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,mammal
5,boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
6,buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
7,calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
8,carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,fish
9,catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
10,cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,mammal
11,cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
12,chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,bird
13,chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
14,clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,invertebrata
15,crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,invertebrata
16,crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,invertebrata
17,crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,bird
18,deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
19,dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish
20,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,mammal
21,dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,bird
22,duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,bird
23,elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
24,flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,bird
25,flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,bug
26,frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,amphibian
27,frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,amphibian
28,fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,mammal
29,giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
30,girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,mammal
31,gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,bug
32,goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
33,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,mammal
34,gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird
35,haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish
36,hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,mammal
37,hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,mammal
38,hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,bird
39,herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
40,honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,bug
41,housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,bug
42,kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,bird
43,ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,bug
44,lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
45,leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
46,lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
47,lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,invertebrata
48,lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
49,mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,mammal
50,mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,mammal
51,mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
52,moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,bug
53,newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,amphibian
54,octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,invertebrata
55,opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,mammal
56,oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
57,ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,bird
58,parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,bird
59,penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,bird
60,pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
61,pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish
62,piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
63,pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,reptile
64,platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,mammal
65,polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
66,pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
67,porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,mammal
68,puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
69,pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,mammal
70,raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
71,reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
72,rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,bird
73,scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,invertebrata
74,seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish
75,seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,mammal
76,sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,mammal
77,seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,reptile
78,seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,invertebrata
79,skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird
80,skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird
81,slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,reptile
82,slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,invertebrata
83,sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish
84,sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
85,squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,mammal
86,starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,invertebrata
87,stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,fish
88,swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,bird
89,termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,bug
90,toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,amphibian
91,tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,reptile
92,tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,reptile
93,tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish
94,vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,mammal
95,vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,mammal
96,vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,bird
97,wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,mammal
98,wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,bug
99,wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
100,worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,invertebrata
101,wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
